,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
0,3414943309,304691,615,334248,12,28,102
1,3414943309,298417,621,348340,28,12,110
0,3414943319,241084,507,263427,22,14,94
1,3414943319,206271,492,250847,14,22,94
0,3414943323,203935,422,210814,22,22,94
1,3414943323,187749,409,199309,22,22,92
0,3414943324,240938,518,269499,22,20,102
1,3414943324,237140,521,275167,20,22,98
0,3414943335,564440,940,600727,60,40,130
1,3414943335,463399,901,557605,40,60,134
0,3414943338,214136,474,244075,26,20,94
1,3414943338,200806,458,233675,20,26,94
0,3414943345,140488,316,139959,16,14,76
1,3414943345,137992,320,145578,14,16,82
0,3414943355,256411,549,289405,28,18,102
1,3414943355,259710,546,282035,18,28,96
0,3414943356,153640,355,162627,16,24,82
1,3414943356,163364,370,177573,24,16,84
0,3414943364,157252,371,177867,18,18,86
1,3414943364,157765,369,173525,18,18,86
0,3414943365,48544,116,37062,12,0,52
1,3414943365,40243,105,32139,0,12,46
0,3414943366,124676,282,122793,16,10,78
1,3414943366,110691,257,107404,10,16,72
0,3414943367,96144,234,95150,8,6,68
1,3414943367,101095,248,104226,6,8,74
0,3414943384,80208,201,78747,2,6,64
1,3414943384,78466,211,82635,6,2,68
0,3414943398,157059,359,166700,12,30,84
1,3414943398,188609,384,187342,30,12,88
0,3414943403,113267,267,110445,10,30,74
1,3414943403,156560,289,130054,30,10,82
0,3414943404,540089,932,581427,52,58,122
1,3414943404,571174,954,601805,58,52,122
0,3414943422,139848,337,159541,16,14,84
1,3414943422,135917,327,151111,14,16,80
0,3414943444,200413,447,219487,18,20,94
1,3414943444,220639,446,215456,20,18,86
0,3414943445,58327,149,53487,4,2,60
1,3414943445,54083,138,47782,2,4,58
0,3414943450,70453,172,64444,6,8,62
1,3414943450,71285,176,68209,8,6,64
0,3414943456,189798,423,208930,16,14,92
1,3414943456,185609,410,202533,14,16,90
0,3414943466,188293,408,200165,30,20,90
1,3414943466,179192,392,182677,20,30,84
0,3414943471,49107,115,37430,6,4,52
1,3414943471,38902,94,26253,4,6,40
0,3414943474,127969,321,143167,10,20,80
1,3414943474,150020,337,153528,20,10,88
0,3414943476,142474,321,146220,18,32,80
1,3414943476,170045,340,162270,32,18,94
0,3414943477,154798,370,176064,10,16,86
1,3414943477,148657,360,169730,16,10,84
0,3414943494,31978,66,18236,10,2,40
1,3414943494,23040,58,12653,2,10,32
0,3414943495,185991,400,191982,20,22,88
1,3414943495,197486,422,214844,22,20,90
0,3414943498,75091,175,65520,10,6,64
1,3414943498,69814,168,60441,6,10,64
0,3414943499,97408,212,85696,22,2,68
1,3414943499,79417,196,73302,2,22,64
0,3414943503,236566,510,269977,26,28,96
1,3414943503,243064,509,264305,28,26,98
0,3414943507,93537,217,87904,16,8,74
1,3414943507,85181,206,79431,8,16,66
0,3414943508,125133,273,119083,18,8,74
1,3414943508,111318,256,102506,8,18,70
0,3414943517,89429,211,85834,18,10,72
1,3414943517,94034,206,82943,10,18,66
0,3414943540,154612,348,157094,18,16,82
1,3414943540,158042,348,156996,16,18,82
0,3414943553,399093,735,435199,34,40,116
1,3414943553,424294,764,456052,40,34,114
0,3414943564,273063,540,275876,32,26,96
1,3414943564,245873,545,289880,26,32,100
0,3414943610,132041,296,135936,20,8,82
1,3414943610,108751,286,122771,8,20,76
0,3414943612,164185,369,166985,20,28,86
