,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,highestAchievedSeasonTier,role,lane
1,2,False,3853,3030,2421,3020,3151,3191,3364,4,6,19,0,1,0,679,0,0,0,0,0,52483,46993,3936,1553,0,32241,29652,1351,1238,2705,1,7245,8159,2411,79,53,16744,8816,7893,34,10634,9675,1,0,19,4,0,0,163,15,3,0,25,15,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1925,0,0,8226,250,294,0,8210,0,0,0,8237,606,0,0,8139,1189,0,0,8135,1573,5,0,8200,8100,5008,5008,5003,,DUO_SUPPORT,BOTTOM
2,3,False,3142,3071,3077,3147,0,3009,3364,4,10,13,2,1,1,461,0,0,0,0,0,111564,0,97757,13807,582,17911,0,16848,1062,5374,1,15393,6218,650,27,4,30451,13625,16500,325,11745,11175,0,0,149,0,0,0,133,15,0,0,4,8,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,542,0,0,9111,1114,340,0,9105,20,30,0,8299,461,0,0,8139,1392,0,0,8135,1804,4,0,8000,8100,5008,5008,5003,,SOLO,MIDDLE
3,4,False,1413,3152,3111,3742,3165,1029,3364,7,8,12,3,1,1,554,0,0,0,0,0,179301,107840,25495,45966,0,16087,14001,1465,620,20207,5,47085,17395,733,23,33,45587,13821,31021,744,13254,12525,0,0,52,124,96,0,475,16,1,0,2,6,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,761,0,0,8463,657,0,0,8429,67,15,13,8453,1565,341,0,8234,12698,0,0,8232,7,40,0,8400,8200,5005,5008,5001,,NONE,JUNGLE
4,5,False,1055,3026,3748,3047,3155,3071,3340,9,10,11,3,2,2,392,2,0,0,0,0,161408,0,151430,9979,0,24888,0,23564,1324,5891,1,55194,15462,5330,24,7,55493,21532,33112,848,14429,12300,3,1,169,20,8,0,49,17,0,0,11,3,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1673,0,0,9111,2945,400,0,9104,18,30,0,8299,1135,0,0,8446,1995,0,0,8473,1308,0,0,8000,8400,5008,5008,5002,,SOLO,TOP
5,6,True,3157,3124,3042,3006,1054,3085,3363,10,5,9,4,2,3,532,1,0,0,0,0,158163,31264,122896,4003,589,23092,8654,13767,670,1860,1,18123,19228,2290,21,5,25136,7141,17622,372,14786,13005,2,1,149,46,30,4,111,16,1,0,9,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1559,818,741,9111,853,380,0,9103,30,10,0,8014,840,0,0,8275,7,0,0,8236,48,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
6,7,True,3748,3153,1031,3071,3053,3111,3340,8,10,11,4,2,2,402,1,0,0,0,0,250719,30804,219915,0,0,39210,10623,28586,0,10652,1,36462,16876,11981,28,21,48233,10915,33911,3406,17909,15550,5,0,280,16,0,9,113,18,2,0,14,1,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,2948,0,0,9111,1712,380,0,9104,13,50,0,8014,1144,0,0,8345,3,0,0,8352,207,1166,689,8000,8300,5005,5008,5002,,SOLO,TOP
7,8,True,3152,1052,3157,1026,3089,3020,3363,7,7,13,2,1,2,579,0,0,0,0,0,162204,147650,12222,2331,0,30176,29102,1073,0,25560,1,16272,8856,4766,34,5,35421,13452,21183,785,13814,12035,2,0,162,4,0,4,146,16,6,0,16,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,18,0,0,8275,9,0,0,8210,0,0,0,8236,48,0,0,8304,11,1,5,8347,0,0,0,8200,8300,5007,5008,5002,,SOLO,MIDDLE
8,9,True,3860,3109,0,3009,3105,3050,3364,3,10,19,0,1,0,380,0,0,0,0,0,21509,13850,3864,3794,0,6088,5714,374,0,9731,5,40267,616,64,71,49,27287,12704,12901,1681,9329,7875,0,0,24,0,0,0,144,14,11,0,50,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2400,0,0,8401,26,0,0,8444,1377,0,0,8453,868,230,0,8321,8,0,0,8347,0,0,0,8400,8300,5007,5003,5002,,DUO_SUPPORT,BOTTOM
9,10,True,3153,1419,3009,3124,3085,3033,3364,13,3,11,6,2,3,1442,2,0,0,0,0,264202,72667,175603,15931,540,34289,11060,21864,1364,12794,1,13243,38023,6590,25,48,30952,9943,20719,290,18177,15550,1,1,50,171,126,19,532,18,1,0,6,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,3855,0,0,9111,980,480,0,9104,12,20,0,8014,1257,0,0,8136,4,8,0,8105,16,5,0,8000,8100,5005,5008,5002,,NONE,JUNGLE
0,1,True,3046,1055,0,3031,3085,3006,3363,6,12,19,2,2,2,294,2,0,0,0,0,156019,1674,143760,10584,597,22504,992,19666,1845,4132,4,17462,7133,5147,18,29,26851,7806,18056,987,12640,10425,1,0,175,18,11,4,263,15,1,0,10,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1697,912,784,9101,2473,2598,0,9104,13,30,0,8014,392,0,0,8275,12,0,0,8236,28,0,0,8000,8200,5005,5008,5002,,DUO,MIDDLE
1,2,True,3859,3107,3067,3009,3174,1031,3364,2,7,21,2,1,1,591,0,0,0,0,0,29391,19777,5652,3961,0,11651,8430,2181,1039,14786,5,15647,1655,555,54,36,19205,5965,12648,592,8193,7500,0,0,38,0,0,0,216,15,2,0,30,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2001,0,0,8463,1546,0,0,8473,771,0,0,8453,1103,257,0,8136,9,18,0,8105,16,5,0,8400,8100,5008,5008,5002,,DUO_SUPPORT,MIDDLE
2,3,True,3124,3153,3091,3812,3139,3047,3364,23,4,7,8,3,4,575,8,2,0,0,0,222108,29934,170911,21261,0,41289,5135,25851,10302,9817,1,36958,19026,11301,14,9,34214,9754,20952,3507,21996,20300,4,1,206,16,4,9,155,18,2,0,6,1,True,False,True,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1998,993,1004,9111,1707,600,0,9104,14,20,0,8014,1042,0,0,8446,2840,0,0,8473,1085,0,0,8000,8400,5005,5008,5002,,SOLO,TOP
3,4,True,1412,3179,3181,3814,0,3006,3364,7,3,14,5,3,1,1232,1,1,0,0,0,199140,4891,181338,12910,0,18514,824,16305,1384,10159,1,15786,27288,5392,39,24,23694,9494,13277,922,13719,12775,4,0,85,135,74,19,354,16,8,0,10,8,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,3114,0,0,9111,1564,420,0,9104,12,0,0,8014,316,0,0,8232,7,10,0,8275,24,0,0,8000,8200,5005,5008,5002,,NONE,JUNGLE
4,5,True,3009,3030,3905,1056,1056,3027,3363,1,7,24,0,1,0,400,0,0,0,0,0,132057,118408,10557,3090,0,18223,16586,1386,250,12179,2,12771,4148,2109,31,44,25504,9555,15186,762,10765,9375,0,0,159,16,8,4,448,17,1,0,13,5,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,33,0,0,8304,10,3,0,8345,3,0,0,8347,0,0,0,8210,0,0,0,8226,250,1203,0,8300,8200,5008,5008,5002,,DUO,MIDDLE
5,6,False,3033,3812,3042,3006,3814,3026,3363,13,9,3,4,2,3,424,2,0,0,0,0,242327,1229,235879,5218,0,41944,573,39874,1496,10106,4,29116,29073,5095,21,20,34503,8141,22418,3944,17571,18350,2,0,247,16,8,0,150,16,0,0,7,7,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,104,91,0,8139,1885,0,0,8138,18,0,0,8105,16,5,0,8009,4843,500,0,9103,24,40,0,8100,8000,5005,5008,5002,,DUO_CARRY,BOTTOM
6,7,False,3109,3050,2420,3857,3117,1031,3364,1,8,15,0,1,0,389,0,0,0,0,0,23769,9286,7378,7104,0,6788,4698,1075,1015,2910,5,29764,1305,78,88,25,26237,8729,14423,3085,8804,8600,0,0,40,0,0,0,151,14,14,0,43,16,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2585,0,0,8463,593,0,0,8473,671,0,0,8242,11,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,,DUO_SUPPORT,BOTTOM
7,8,False,2033,3111,3153,3078,3053,3123,3364,7,8,4,2,2,3,760,1,0,0,0,0,178148,25366,139451,13330,0,21096,6777,14036,282,7179,1,25470,25558,2255,17,16,35701,4872,27382,3446,14055,12783,1,0,237,9,0,0,114,17,2,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1067,0,0,9111,849,220,0,9103,26,20,0,8299,847,0,0,8345,3,0,0,8352,209,1128,680,8000,8300,5005,5008,5002,,SOLO,TOP
8,9,False,1401,3157,3047,3075,3024,1027,3340,7,7,11,3,1,2,647,0,0,0,0,0,145145,111675,26637,6832,85,17938,13897,2077,1963,7382,5,55889,10815,390,22,47,31832,8321,20090,3420,11849,10875,0,0,29,102,74,4,635,15,1,0,12,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,888,0,0,8463,800,0,0,8429,64,24,11,8242,23,0,0,8275,23,0,0,8234,11450,0,0,8400,8200,5005,5002,5002,,NONE,JUNGLE
9,10,False,2033,3157,3285,3020,1082,1058,3340,5,7,8,2,2,1,699,1,0,0,0,0,71069,41936,23830,5301,0,18437,14069,2761,1606,620,1,24706,2563,440,17,23,18278,4265,12569,1443,10304,9300,0,0,121,0,0,0,298,15,0,0,9,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1200,0,0,8143,504,0,0,8138,30,0,0,8106,5,0,0,8345,3,0,0,8347,0,0,0,8100,8300,5008,5008,5003,,SOLO,MIDDLE
