,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,{3414943130},1,Win,True,True,True,True,True,True
1,{3414943130},2,Fail,False,False,False,False,False,False
0,{3414943134},1,Win,False,False,True,False,True,True
1,{3414943134},2,Fail,True,True,False,False,False,False
0,{3414943135},1,Fail,False,True,False,False,False,True
1,{3414943135},2,Win,True,False,True,False,True,False
0,{3414943142},1,Win,True,True,True,True,True,False
1,{3414943142},2,Fail,False,False,False,False,False,True
0,{3414943158},1,Win,True,False,True,False,True,False
1,{3414943158},2,Fail,False,True,False,False,False,True
0,{3414943159},1,Fail,True,False,False,False,False,False
1,{3414943159},2,Win,False,True,True,True,True,True
0,{3414943160},1,Win,True,True,True,True,True,True
1,{3414943160},2,Fail,False,False,False,False,False,False
0,{3414943166},1,Win,False,True,True,True,True,True
1,{3414943166},2,Fail,True,False,False,False,False,False
0,{3414943175},1,Fail,True,False,False,False,False,False
1,{3414943175},2,Win,False,True,True,False,True,True
0,{3414943180},1,Fail,False,False,False,False,False,True
1,{3414943180},2,Win,True,True,True,True,True,False
0,{3414943181},1,Fail,False,False,True,False,False,True
1,{3414943181},2,Win,True,True,False,False,True,False
0,{3414943185},1,Fail,True,False,False,False,False,False
1,{3414943185},2,Win,False,True,True,True,True,True
0,{3414943188},1,Fail,True,False,False,False,False,False
1,{3414943188},2,Win,False,True,True,True,True,False
0,{3414943208},1,Win,True,True,False,False,True,True
1,{3414943208},2,Fail,False,False,False,False,False,False
0,{3414943215},1,Win,False,False,True,True,False,False
1,{3414943215},2,Fail,True,True,False,False,True,True
0,{3414943229},1,Fail,False,False,False,False,True,False
1,{3414943229},2,Win,True,True,True,True,False,True
0,{3414943230},1,Win,True,True,False,False,True,False
1,{3414943230},2,Fail,False,False,False,False,False,True
0,{3414943233},1,Fail,False,False,False,False,False,False
1,{3414943233},2,Win,True,True,False,False,True,True
0,{3414943254},1,Win,False,True,True,True,True,False
1,{3414943254},2,Fail,True,False,False,False,False,True
0,{3414943266},1,Fail,False,False,False,False,True,False
1,{3414943266},2,Win,True,True,True,True,False,True
0,{3414943270},1,Win,False,False,True,False,False,False
1,{3414943270},2,Fail,True,True,False,True,True,True
0,{3414943281},1,Win,True,True,True,True,True,False
1,{3414943281},2,Fail,False,False,False,False,False,True
0,{3414943309},1,Win,False,True,True,True,True,True
1,{3414943309},2,Fail,True,False,False,False,False,False
0,{3414943319},1,Fail,True,True,True,False,True,True
1,{3414943319},2,Win,False,False,False,True,False,False
0,{3414943323},1,Win,True,True,True,True,True,True
1,{3414943323},2,Fail,False,False,False,False,False,False
0,{3414943324},1,Win,False,True,True,True,False,False
1,{3414943324},2,Fail,True,False,False,False,True,False
0,{3414943335},1,Win,True,True,True,True,True,True
1,{3414943335},2,Fail,False,False,False,False,False,False
0,{3414943338},1,Fail,True,False,False,False,True,False
1,{3414943338},2,Win,False,True,True,True,False,True
0,{3414943345},1,Fail,True,True,False,False,False,True
1,{3414943345},2,Win,False,False,True,False,True,False
0,{3414943355},1,Fail,False,True,False,False,False,False
1,{3414943355},2,Win,True,False,True,True,True,True
0,{3414943356},1,Fail,False,False,False,False,False,True
1,{3414943356},2,Win,True,True,True,True,True,False
0,{3414943364},1,Fail,True,True,False,False,False,True
1,{3414943364},2,Win,False,False,True,True,True,False
0,{3414943365},1,Win,True,True,False,False,True,True
1,{3414943365},2,Fail,False,False,False,False,False,False
0,{3414943366},1,Win,True,True,True,True,False,False
1,{3414943366},2,Fail,False,False,False,False,True,True
0,{3414943367},1,Fail,True,False,False,False,True,False
1,{3414943367},2,Win,False,True,True,True,False,True
0,{3414943384},1,Win,False,True,False,False,False,False
1,{3414943384},2,Fail,True,False,False,False,True,False
0,{3414943398},1,Fail,True,False,False,False,True,False
1,{3414943398},2,Win,False,True,True,True,False,True
0,{3414943403},1,Fail,False,False,False,False,False,False
1,{3414943403},2,Win,True,True,True,True,True,True
0,{3414943404},1,Win,True,True,True,False,True,True
1,{3414943404},2,Fail,False,False,False,True,False,False
0,{3414943422},1,Win,False,False,True,False,False,True
1,{3414943422},2,Fail,True,True,False,False,True,False
0,{3414943444},1,Win,False,False,False,False,True,False
1,{3414943444},2,Fail,True,True,True,False,False,True
0,{3414943445},1,Win,False,True,False,False,True,True
1,{3414943445},2,Fail,True,False,False,False,False,False
0,{3414943450},1,Fail,True,False,False,False,False,False
1,{3414943450},2,Win,False,True,True,False,True,True
0,{3414943456},1,Fail,False,False,False,False,True,True
1,{3414943456},2,Win,True,True,True,True,False,False
0,{3414943466},1,Win,False,True,True,True,True,True
1,{3414943466},2,Fail,True,False,False,False,False,False
0,{3414943471},1,Win,True,True,False,False,True,False
1,{3414943471},2,Fail,False,False,False,False,False,True
0,{3414943474},1,Fail,False,False,False,False,False,False
1,{3414943474},2,Win,True,True,True,True,True,True
0,{3414943476},1,Fail,False,False,False,False,False,False
1,{3414943476},2,Win,True,True,False,True,True,True
0,{3414943477},1,Fail,False,False,False,False,False,True
1,{3414943477},2,Win,True,True,True,True,True,False
